headline|link|description|source|type
Censorship and disinformation|https://www.dawn.com/news/1829946/censorship-and-disinformation|Enhancing media literacy among the populace can empower individuals to critically analyse and question the information they encounter|Asad Baig|tech
Centre issues dark web advisory to ministries, provinces to prevent data leaks|https://www.dawn.com/news/1730236/centre-issues-dark-web-advisory-to-ministries-provinces-to-prevent-data-leaks|“Dark web is being used by criminals, terrorists, hostile intelligence agencies and non-state actors,” says federal govt|Tahir Sherani|tech
Child's play — Is video gaming dangerous?    |https://www.dawn.com/news/1240793/childs-play-is-video-gaming-dangerous|As a gamer, I would gawk in awe at gaming experiences but since the arrival of my child, I now look at them with dread|Adi Abdurab|tech
Ecommerce startup 24SEVEN raises $6m|https://www.dawn.com/news/1697745/ecommerce-startup-24seven-raises-6m|“This is our first major round|Kazim Alam|tech
T20 World Cup: Yadav, Arshdeep star as India beat USA to reach second round|https://www.dawn.com/news/1839504/t20-world-cup-yadav-arshdeep-star-as-india-beat-usa-to-reach-second-round|India joins Australia and South Africa as the three teams to have booked their places in the next stage|AFP|sports
4 takeaways from Pakistan’s sluggish run chase against Canada|https://www.dawn.com/news/1839427/4-takeaways-from-pakistans-sluggish-run-chase-against-canada|Pakistan have not been brave at this T20 World Cup|Ahsan Iftikhar Nagi|sports
Cricket fans hurt, but still backing Green Shirts|https://www.dawn.com/news/1839304|Rabia Aftab, who came all the way from Michigan to witness Pakistan’s match against Canada, says she's extremely glad to see Pakistan winning|Unknown|sports
T20 World Cup: India eye better batting show against high-flying US|https://www.dawn.com/news/1839303/t20-world-cup-india-eye-better-batting-show-against-high-flying-us|India, classified as A1 (irrespective of points), need just one more win to ensure their Super Eight berth|Agencies|sports
No rift between Babar and Shaheen, says Azhar|https://www.dawn.com/news/1839305/no-rift-between-babar-and-shaheen-says-azhar|Takes a dig at everyone who feels that the national team cricketers shouldn’t have a life outside cricket|Agencies|sports
T20 World Cup: Pakistan stay alive with 7-wicket win over Canada|https://www.dawn.com/news/1839261/t20-world-cup-pakistan-stay-alive-with-7-wicket-win-over-canada|Mohammad Rizwan finishes undefeated on 53 with two fours and a six for his 29th T20 international half-century|AFP|sports
Pakistan win U-18 CAVA Volleyball title|https://www.dawn.com/news/1839122/pakistan-win-u-18-cava-volleyball-title|Key players Mohammad Yahya, Talal Ahmed and Khizar Hayat play crucial role in securing win, defeating Iran 3-1 in final|The Newspaper's Sports Reporter|sports
T20 World Cup: PCB chief calls for team’s ‘major surgery’ after loss to India|https://www.dawn.com/news/1839129|"""We need to now start looking at players beyond those in the team right now,” Mohsin Naqvi says"|Unknown|sports
Pakistan face travel woes ahead of qualifier against Tajikistan|https://www.dawn.com/news/1839120/pakistan-face-travel-woes-ahead-of-qualifier-against-tajikistan|Hopes remain high that remaining squad will arrive well in advance of kick-off time, ensuring their participation|The Newspaper's Sports Reporter|sports
